price,Address,area,Bedrooms,Bathrooms,Balcony,parking,Lift,Price_sqft
24000000,"G.K Nagar 1, Shankar Lane, Kandivali west, Mumbai -67, Kandivali West, Mumbai - North Mumbai, Maharashtra",1200,3,4,1,2,1,20000
42000000,"B-803, jagat vidya society, Mahim, Mumbai - Central Mumbai, Maharashtra",1100,2,3,1,1,2,38181.81818
16800000,"Purvarang chs, mulund east. 81, Mulund East, Mumbai - Central Line, Maharashtra",685,2,2,1,1,2,24525.54745
26000000,"Flat No. 1401, Rajendra Nagar, Borivali East, Mumbai - 400066, Borivali East, Mumbai - Western Suburbs, Maharashtra",1500,3,3,1,1,2,17333.33333
42500000,"Matunga West, Mumbai - South Mumbai, Maharashtra",1356,4,4,1,1,1,31342.18289
27500000,"Swastik Park, Mumbai - Harbour Line, Maharashtra",1080,2,2,1,1,0,25462.96296
95000000,"Bandra West, Mumbai - Western Suburbs, Maharashtra",2450,4,4,4,2,2,38775.5102
45000000,"India House Number 2 Cooprative Housing Society August Kranti Road Cumballa Hill Mumbai Maharashtra 400026, Kemps Corner, Mumbai - South Mumbai, Maharashtra",1250,2,2,1,1,1,36000
9900000,"Mira Road East Mumbai., Sheetal Nagar, Mumbai - Mira Road and Beyond, Maharashtra",1100,3,3,1,1,1,9000
90000000,"Harmony Cooperative Housing Society Dr. E Moses Road Worli Naka Worli Mumbai Maharashtra 400018, Worli Naka Acharaya Atre Chowk, Mumbai - South Mumbai, Maharashtra",2500,3,3,4,2,3,36000
215000000,"Park Avenue Flat no1301 And 1401 Marhaba CHS Near Kaifi Azmi Park AVM Marg JVPD Scheme VileParle W Mumbai 400049, JVPD Scheme, Mumbai - Western Suburbs, Maharashtra",5500,6,6,2,1,1,39090.90909
30000000,"1103 Kripadham Building 11th Floor Carter Road No 2 Borivali east Mumbai, Borivali East, Mumbai - Western Suburbs, Maharashtra",1400,4,4,1,1,2,21428.57143
90000000,"Palai House Telang Cross Road 3 Brhmanwada Matunga East Mumbai Maharashtra 400019, Matunga East, Mumbai - Central Mumbai, Maharashtra",2000,4,3,1,1,1,45000
24500000,"Bhardawadi Road, Andheri West, Mumbai - Western Suburbs, Maharashtra",960,2,2,1,1,2,25520.83333
45000000,"Flat Number 13 3rd Floor Giri Chhaya Cooperative Housing Society DadiSheth 1st Cross Lane Babulnath Mumbai 400006, Dadi Sheth Wadi, Mumbai - South Mumbai, Maharashtra",1300,3,4,1,1,1,34615.38462
160000000,"Lady Tower Cooperative Housing Society Dainik Shivner Marg Upper Worli Worli Mumbai Maharashtra 400018, Worli, Mumbai - South Mumbai, Maharashtra",4100,4,5,2,1,1,39024.39024
110000000,"Jalsa Cottage Erangal Gaon Madh Malad West Mumbai, Madh Beach, Mumbai - North Mumbai, Maharashtra",3200,3,3,1,4,1,34375
110000000,"Panorama The Address Complex LBS Marg Ghatkopar West Mumbai Maharashtra 400086, Ghatkopar West, Mumbai - Central Line, Maharashtra",5113,4,6,1,4,5,21513.78838
19000000,"Nadiadwala Colony No 2, SV road, Malad west, Malad West, Mumbai - Western Suburbs, Maharashtra",830,2,2,1,1,2,22891.56627
16500000,"Tilak Nagar - Parel, Mumbai - South Mumbai, Maharashtra",1100,3,2,1,1,1,15000
32000000,"Sahar Road, Andheri East, Mumbai - Western Suburbs, Maharashtra",1500,5,3,1,1,1,21333.33333
42500000,"Shree Siddhi Complex, Vishweshwar Nagar Road, off Aarey Road, Goregaon East, Goregaon East, Mumbai - Western Suburbs, Maharashtra",2052,4,3,7,3,1,20711.50097
