price,area,Bedrooms,Bathrooms,Balcony,parking,Lift,Price_sqft
22500000,850,2,2,1,1,1,26470.58824
32500000,1495,2,2,3,1,2,21739.13043
34000000,1650,3,4,2,2,3,20606.06061
35000000,1050,2,2,1,1,1,33333.33333
20000000,1070,2,2,2,1,2,18691.58879
16500000,635,2,2,1,1,1,25984.25197
19000000,1000,2,2,1,1,1,19000
40000000,2000,3,4,1,1,1,20000
130000000,1500,2,3,1,3,0,86666.66667
25000000,1700,3,3,1,1,1,14705.88235
26000000,1650,3,3,3,1,4,15757.57576
170000000,3500,5,6,1,4,5,48571.42857
12000000,732,2,2,2,1,1,16393.44262
26000000,1800,3,3,4,1,1,14444.44444
22000000,1260,2,3,1,1,7,17460.31746
38000000,2200,4,2,2,4,2,17272.72727
9030000,1245,2,2,4,2,2,7253.012048
15500000,1205,2,2,1,1,2,12863.07054
85000000,1600,2,2,1,1,2,53125
37500000,1300,3,3,1,1,2,28846.15385
21000000,840,2,2,1,2,2,25000
25000000,1400,3,3,1,1,2,17857.14286
12500000,890,2,2,1,1,1,14044.94382
21500000,750,2,2,1,1,1,28666.66667
26400000,1330,3,3,1,1,2,19849.62406
33000000,1700,4,4,1,2,4,19411.76471
80000000,2400,4,4,2,1,1,33333.33333
17500000,661,2,2,2,2,10,26475.03782
85000000,2100,4,4,1,3,3,40476.19048
14500000,780,2,2,1,1,1,18589.74359
75000000,2475,3,3,1,2,3,30303.0303
4950000,943,2,2,1,1,1,5249.204666
76000000,2100,3,4,4,2,6,36190.47619
16000000,858,2,2,1,1,2,18648.01865
46000000,1200,2,2,1,1,5,38333.33333
148800000,3200,3,5,4,3,3,46500
40000000,1200,2,3,2,1,2,33333.33333
44400000,1275,4,4,1,1,2,34823.52941
35000000,1060,3,3,1,1,2,33018.86792
85000000,2650,4,5,5,2,4,32075.4717
65000000,2300,3,4,2,1,1,28260.86957
88000000,2600,4,4,1,2,6,33846.15385
26000000,1130,2,2,1,1,2,23008.84956
21000000,930,2,2,1,1,2,22580.64516
22700000,1250,2,2,1,1,3,18160
22200000,975,2,2,1,1,3,22769.23077
22500000,1665,3,3,3,2,4,13513.51351
37500000,2000,3,4,4,2,4,18750
32000000,1365,2,2,1,1,3,23443.22344
60000000,1800,4,4,1,2,2,33333.33333
18500000,1100,2,2,1,1,4,16818.18182
25000000,1300,2,2,1,1,1,19230.76923
24500000,1512,3,3,3,1,2,16203.7037
15500000,1000,2,2,1,1,2,15500
6000000,770,2,2,1,1,1,7792.207792
21000000,920,2,2,1,1,1,22826.08696
53000000,1551,3,3,1,1,1,34171.50226
16700000,1086,2,2,1,1,4,15377.53223
